#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
   12240        0.07752       0.716248       0.154235
   11034     0.00204427        0.70074       0.373478
   12019     -0.0101271       0.685204        2.06351
   11398      0.0265496       0.786533        21.4118
   13399     0.00483415       0.763808          1.014
   13429    -0.00076834       0.737568      0.0537024
   11373      0.0299102       0.785414        21.3592
   12878      0.0293613       0.785754        21.0383
   13674      0.0345157        0.92504       0.754295
   11649     0.00467945       0.893529      0.0956909
   11839     0.00285316       0.893306       0.758134
   10249    -0.00573214        0.92228        1.08485
   13074      0.0124092       0.932132       0.272454
   11054     0.00790633       0.539284        1.65847
   10244     0.00789383       0.582205        1.59174
   12904      0.0147712       0.578451       0.271751
   12639      0.0677028       0.662997         7.5588
   11840      0.0620513       0.630647        1.05259
   11524      0.0130563       0.617479       0.279537
   12034      0.0269721       0.629674       0.276494
   11064    -0.00606443       0.643398         1.2716
   12044     0.00482618       0.647408       0.996403
   13448      -0.065937       0.785407        23.5368
   11059       0.017458       0.782786       0.379172
   13383      0.0168756       0.785425        214.128
   13108        0.17707       0.790623        18.9733
   12364      0.0794828       0.805704        1.71134
   12698       0.124256       0.785398         1953.3
   11208       0.486314       0.785403        129.711
   12150       -3.01953       0.657166       0.769723
   13432        3.28949       0.619059        37.9135
   13850        3.21787       0.448947      0.0856212
   10478       0.638676       0.785908        11.4582
   12083       0.651007       0.787685         11.443
   13698       0.722311       0.786302        10.5926
   10433       0.708387       0.785453        10.8388
   13378       0.698298       0.785752        104.971
   10749     0.00709131       0.779127       0.075482
   12378     0.00602038       0.785401        21.8714
   10150        0.42846       0.656438        524.147
   10625       0.408057       0.285144        2.19253
   11560       0.550275       0.350735       0.816339
   11985        3.66179       0.462214        1.00794
   10275        3.63361       0.322011       0.203187
   13716        3.55922       0.413035        24.0199
   11305       0.284144       0.293871       0.339373
   12369       0.225318       0.327108        2.82756
   12565       0.336429       0.447756        10.7537
   12035       0.301096       0.452084        1.60469
   12370       0.296423       0.471559        54.0111
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.463946       0.774416        6029.84      97
#indices  rapidity(ita)            phi             pt
   14587      -0.748415         0.7854        99.8321
   14017      -0.515119       0.786744        37.0671
   14694      -0.497001       0.853166       0.480858
   14842      -0.504994       0.785409        36.4635
   14252        7.77307       0.911357     0.00921105
   16001        7.44405       0.721259        33.3166
   14528     0.00697195       0.835465        1.03635
   15273     0.00243093       0.781436      0.0482108
   15743      0.0069798       0.794747        1.39859
   14352      -0.192813       0.785401        173.514
   15197      -0.188963       0.787424        26.6126
   14622       -1.66818       0.785506        39.7895
   14387       -3.65791       0.791545        5.44949
   15021       -3.59577       0.654191        36.1535
   14032       -1.43461       0.785401        94.1945
   13921       -1.51739       0.957957        13.4471
   16017       -1.50922        0.78541        100.322
   15020      0.0258994       0.738829        29.7596
   14287       0.130264       0.785399        19.8807
   14543     -0.0707803       0.786773        11.2583
   15253     -0.0693192       0.802743        11.4408
   15378    -0.00691439       0.898828        1.43553
   14953      0.0151576        0.86684       0.319176
   13993      0.0102767       0.890264        2.08728
   14813     0.00132749       0.883309       0.234548
   13933     0.00432193        1.03335       0.970706
   13963     0.00107509        1.07198       0.147678
   14178      0.0582878       0.976566       0.735564
   13983     0.00535084       0.964594        1.08351
   16044      0.0203137       0.988907       0.159601
   14598     -0.0180624       0.992154       0.192851
   14733      0.0016934        1.00287       0.132688
   15841        4.67733       0.588528        39.6298
   16109        4.77464        0.47444       0.179324
   16114        4.77802        0.56677       0.122393
   15202      -0.370599       0.786331         32.056
   15717       -2.25236        0.78543        22.1803
   16027       -2.25569       0.785403        209.776
   15732      0.0899781       0.785549        20.1286
   14533      0.0897828        0.81957         14.804
   14938       0.105504       0.835084         1.6143
   14662       -2.45597        1.15174        18.1965
   15924       -2.35671        1.05258       0.274948
   15337       -2.67018        1.06467        18.4371
   15221       -4.17148        1.22087        11.7096
   15627       -4.21747        1.22767        3.13581
   14197       -2.50221       0.785398        271.617
   15594       -2.47968       0.630742       0.458193
   15722       -2.46771       0.785399        254.189
   14832       0.750315       0.786066        10.3469
   15712       0.684058       0.785519        106.399
   14042        1.19365       0.785977        6.59831
   14132        1.33012       0.826065        5.82518
   14052        1.28357       0.785432        58.4923
   15867        1.29754        0.78636        6.01021
   14541      -0.556832        0.72377        33.2219
   14069      -0.681421        0.59566       0.251395
   15286      -0.581278        0.66547        35.6316
   14175       -1.44796       0.176057        22.3454
   14196       -6.94447        0.38203         59.012
   14229       -7.02572       0.307707       0.205256
   14264       0.583011       0.540699      0.0897564
   14348       0.642882       0.579845        111.758
   13934       0.794573       0.541448        9.92549
   15699       -6.53532       0.341207       0.421389
   15726       -6.68887       0.578743        586.868
   14147        4.91861       0.786614        0.16191
   14986        4.86918       0.873633        28.6957
   14037      -0.309454       0.785398        2877.67
